"Government expenditure on education (% of GDP)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","","","","","","","","","3.5","","3.4","","2.5","","3.5","","3.8","","3.2","","","","",""
"68"," Albania","","","3.8","","3.3","","3.2","","","","","","","","3.5","","","","3.5","","","","",""
"35"," Andorra","","","","","","","1.6","","3.1","","3.1","","","","2.4","","3.0","","3.3","","3.3","","",""
"147"," Angola","","","","","2.6","","2.8","","3.5","","","","","","","","","","","","","","",""
"47"," Argentina","1.1","","","","4.6","","3.9","","5.0","","5.3","","5.3","","5.4","","5.4","","5.9","","","","",""
"83"," Armenia","","","","","2.8","","2.7","","3.2","","3.1","","2.8","","2.6","","2.2","","2.8","","2.8","","",""
"3"," Australia","4.7","","5.1","","4.9","","4.9","","5.6","","5.1","","4.9","","5.3","","5.2","","","","","","",""
"20"," Austria","5.0","","5.4","","5.6","","5.2","","5.7","","5.6","","5.5","","5.5","","5.4","","","","","","",""
"80"," Azerbaijan","","","3.3","","3.9","","3.0","","2.8","","2.4","","2.1","","2.4","","2.6","","3.0","","","","",""
"54"," Bahamas","","","","","2.9","","","","","","","","","","","","","","","","","","",""
"43"," Bahrain","","","","","","","","","","","","","2.6","","2.5","","2.5","","2.7","","2.7","","",""
"136"," Bangladesh","1.5","","","","2.1","","","","","","2.1","","2.2","","2.0","","","","","","2.5","","",""
"58"," Barbados","","","","","4.6","","5.6","","6.1","","","","5.3","","5.1","","6.2","","","","5.1","","",""
"53"," Belarus","","","","","6.2","","5.9","","5.2","","4.7","","5.0","","5.0","","4.8","","4.8","","5.0","","",""
"17"," Belgium","","","3.0","","","","5.8","","6.4","","6.4","","","","6.6","","6.6","","","","","","",""
"106"," Belize","","","","","5.0","","","","6.6","","","","","","6.2","","6.5","","6.7","","","","7.4",""
"163"," Benin","","","","","2.9","","3.6","","5.0","","","","4.9","","4.5","","4.3","","4.4","","","","",""
"134"," Bhutan","","","","","5.5","","7.1","","4.0","","4.7","","","","5.6","","5.9","","7.4","","","","",""
"118"," Bolivia (Plurinational State of)","","","5.6","","5.5","","","","7.6","","6.9","","6.4","","6.3","","7.3","","","","","","",""
"101"," Botswana","5.7","","","","","","10.7","","","","","","","","","","","","","","","","",""
"79"," Brazil","","","4.5","","3.9","","4.5","","5.6","","5.7","","5.9","","5.8","","5.9","","","","","","",""
"39"," Brunei Darussalam","4.0","","","","3.7","","","","2.0","","3.3","","2.9","","","","3.4","","","","4.4","","",""
"51"," Bulgaria","4.5","","3.4","","","","4.1","","3.9","","3.6","","3.5","","4.1","","","","","","","","",""
"183"," Burkina Faso","","","","","","","4.4","","3.9","","4.5","","4.1","","4.6","","4.6","","4.2","","","","",""
"185"," Burundi","3.4","","5.0","","2.6","","3.6","","6.8","","6.0","","5.8","","5.4","","","","","","","","",""
"125"," Cabo Verde","","","","","","","","","5.6","","5.0","","","","5.0","","5.0","","5.3","","5.4","","",""
"146"," Cambodia","","","","","1.7","","","","1.5","","1.5","","1.6","","2.0","","1.9","","","","","","",""
"151"," Cameroon","3.3","","","","1.8","","2.9","","3.0","","2.8","","2.7","","2.8","","","","","","","","",""
"12"," Canada","6.0","","6.3","","5.4","","4.8","","5.4","","5.3","","","","","","","","","","","","",""
"188"," Central African Republic","2.2","","","","1.6","","1.6","","1.2","","1.2","","","","","","","","","","","","",""
"186"," Chad","","","","","2.6","","1.7","","2.0","","2.3","","2.2","","2.9","","","","","","","","",""
"44"," Chile","2.3","","2.6","","3.8","","3.3","","4.2","","4.0","","","","4.5","","4.7","","4.9","","","","",""
"86"," China","","","1.8","","","","","","","","","","","","","","","","","","","","",""
"90"," Colombia","","","","","3.5","","4.0","","4.8","","4.5","","4.4","","4.9","","4.7","","4.5","","4.5","","",""
"165"," Comoros","","","","","","","","","","","4.9","","4.9","","4.3","","4.9","","4.3","","","","",""
"137"," Congo","","","4.9","","","","1.8","","6.2","","","","","","","","","","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","","","","","","1.6","","","","","","2.2","","","","2.3","","","","",""
"63"," Costa Rica","","","3.4","","4.7","","","","6.6","","6.5","","6.7","","6.8","","6.9","","7.1","","7.1","","",""
"46"," Croatia","","","","","","","","","4.3","","4.2","","","","4.6","","","","","","","","",""
"73"," Cuba","","","","","7.7","","10.6","","12.8","","","","","","","","","","","","","","",""
"32"," Cyprus","3.3","","3.8","","4.9","","6.2","","6.6","","6.6","","","","6.4","","6.1","","","","","","",""
"27"," Czechia","","","4.5","","3.7","","3.9","","4.1","","4.3","","4.3","","4.1","","4.0","","","","","","",""
"170"," Côte d'Ivoire","","","4.3","","3.7","","4.1","","4.6","","4.1","","4.6","","4.7","","4.6","","4.8","","","","",""
"11"," Denmark","","","7.5","","8.1","","8.1","","8.6","","8.5","","7.2","","8.5","","7.6","","","","","","",""
"172"," Djibouti","","","","","9.7","","8.4","","4.5","","","","","","","","","","","","","","",""
"103"," Dominica","","","","","","","","","","","","","","","","","","","3.4","","","","",""
"94"," Dominican Republic","","","1.0","","1.9","","","","","","","","","","","","","","","","","","",""
"86"," Ecuador","","","2.0","","1.2","","","","4.5","","4.7","","4.6","","5.0","","5.3","","5.0","","","","",""
"115"," Egypt","","","4.6","","","","4.8","","","","","","","","","","","","","","","","",""
"121"," El Salvador","","","","","2.5","","2.7","","3.5","","3.4","","3.3","","3.4","","3.4","","3.5","","3.5","","",""
"30"," Estonia","","","6.1","","5.3","","4.8","","5.5","","5.0","","4.7","","4.8","","5.5","","","","","","",""
"144"," Eswatini (Kingdom of)","5.5","","5.7","","5.5","","6.5","","6.1","","6.9","","","","","","7.1","","","","","","",""
"173"," Ethiopia","","","","","4.0","","","","4.5","","5.5","","5.6","","4.5","","","","","","","","",""
"92"," Fiji","","","","","5.9","","5.1","","","","4.2","","","","3.9","","","","","","","","",""
"15"," Finland","5.3","","6.8","","5.7","","6.0","","6.5","","6.5","","7.2","","7.2","","7.2","","","","","","",""
"24"," France","4.5","","5.8","","5.5","","5.5","","5.7","","5.5","","5.5","","5.5","","5.5","","","","","","",""
"110"," Gabon","","","","","3.8","","","","3.1","","3.0","","3.0","","3.0","","2.7","","","","","","",""
"174"," Gambia","2.8","","2.6","","1.5","","1.1","","4.2","","3.9","","4.1","","2.8","","","","","","","","",""
"70"," Georgia","","","","","2.2","","2.5","","","","2.7","","2.0","","","","","","","","3.8","","",""
"5"," Germany","","","4.4","","","","","","4.9","","4.8","","4.9","","4.9","","4.9","","","","","","",""
"140"," Ghana","","","","","","","7.4","","5.5","","8.1","","7.9","","6.1","","6.2","","","","","","",""
"31"," Greece","2.0","","","","3.2","","4.0","","","","","","","","","","","","","","","","",""
"75"," Grenada","","","","","","","","","","","","","","","","","","","","","10.3","","",""
"127"," Guatemala","","","1.6","","","","","","2.8","","2.9","","3.0","","2.8","","2.9","","3.0","","2.8","","",""
"175"," Guinea","","","","","2.6","","1.8","","2.5","","2.3","","1.9","","2.6","","2.4","","","","","","",""
"177"," Guinea-Bissau","","","","","","","","","1.9","","1.9","","2.0","","2.1","","","","","","","","",""
"125"," Guyana","","","3.6","","8.5","","8.1","","3.6","","3.6","","3.2","","","","","","","","","","",""
"133"," Honduras","","","3.6","","","","","","","","","","","","5.9","","","","","","","","",""
"7"," Hong Kong, China (SAR)","2.5","","","","","","4.1","","3.5","","3.4","","3.5","","3.8","","3.6","","3.3","","3.3","","3.3",""
"45"," Hungary","","","4.8","","4.9","","5.3","","4.8","","4.6","","","","4.2","","4.6","","","","","","",""
"6"," Iceland","4.2","","4.7","","6.5","","7.4","","7.2","","7.0","","7.9","","7.8","","","","","","","","",""
"130"," India","","","","","4.4","","3.2","","3.4","","3.8","","3.9","","3.8","","","","","","","","",""
"116"," Indonesia","","","0.9","","","","2.7","","2.8","","3.2","","3.4","","3.4","","3.3","","3.6","","","","",""
"60"," Iran (Islamic Republic of)","3.8","","4.1","","4.0","","4.1","","3.7","","3.5","","3.2","","3.1","","2.8","","2.8","","3.4","","",""
"4"," Ireland","4.6","","4.9","","4.1","","4.5","","6.0","","5.8","","5.8","","5.3","","4.9","","","","","","",""
"22"," Israel","5.4","","","","6.1","","5.8","","5.5","","5.6","","5.7","","5.8","","5.7","","","","","","",""
"28"," Italy","","","4.3","","4.3","","4.2","","4.4","","4.1","","","","4.2","","4.1","","","","","","",""
"97"," Jamaica","4.8","","3.7","","5.0","","4.6","","6.4","","6.3","","6.1","","6.3","","6.0","","5.5","","5.3","","5.4",""
"19"," Japan","","","3.5","","3.5","","3.4","","3.6","","3.6","","3.7","","3.7","","3.6","","","","","","",""
"95"," Jordan","","","","","","","","","","","","","","","","","","","","","3.9","","",""
"58"," Kazakhstan","","","4.0","","3.3","","2.3","","","","","","","","","","","","2.8","","3.0","","",""
"142"," Kenya","","","","","5.2","","7.3","","5.5","","5.3","","5.5","","5.4","","5.3","","5.3","","","","",""
"134"," Kiribati","","","","","11.2","","","","","","","","","","","","","","","","","","",""
"22"," Korea (Republic of)","3.1","","3.0","","","","3.9","","","","","","4.6","","4.9","","5.1","","5.1","","","","",""
"56"," Kuwait","","","","","","","4.7","","","","","","","","","","","","","","","","",""
"122"," Kyrgyzstan","","","6.2","","3.5","","4.9","","5.8","","6.8","","7.4","","6.8","","5.5","","6.0","","","","",""
"139"," Lao People's Democratic Republic","","","","","1.5","","2.4","","1.7","","1.8","","1.8","","3.2","","2.9","","","","","","",""
"41"," Latvia","","","","","5.3","","","","5.1","","4.9","","6.6","","7.0","","5.3","","","","","","",""
"80"," Lebanon","","","2.2","","","","2.7","","1.6","","1.6","","2.2","","2.5","","","","","","","","",""
"159"," Lesotho","","","8.6","","10.1","","12.1","","","","","","","","","","","","","","","","",""
"181"," Liberia","","","","","","","","","","","","","2.8","","","","","","","","","","",""
"17"," Liechtenstein","","","","","","","","","","","2.6","","","","","","","","","","","","",""
"35"," Lithuania","","","4.8","","","","4.9","","5.3","","5.1","","4.8","","4.6","","4.5","","","","","","",""
"21"," Luxembourg","","","3.5","","","","","","","","","","4.1","","","","4.0","","","","","","",""
"161"," Madagascar","","","","","2.9","","3.8","","","","2.8","","2.7","","2.1","","","","","","","","",""
"171"," Malawi","3.3","","4.0","","5.2","","","","3.5","","4.2","","","","5.4","","4.8","","5.6","","4.7","","",""
"57"," Malaysia","","","4.3","","6.0","","","","5.0","","5.8","","5.7","","5.5","","5.2","","5.0","","4.8","","",""
"101"," Maldives","","","","","","","5.0","","4.1","","3.5","","3.8","","3.8","","3.5","","4.5","","4.3","","",""
"182"," Mali","","","","","3.0","","3.5","","3.3","","3.8","","3.5","","3.3","","3.6","","3.8","","","","",""
"29"," Malta","3.8","","","","","","","","6.5","","7.8","","6.5","","7.9","","7.3","","","","","","",""
"159"," Mauritania","","","","","","","","","3.6","","3.1","","2.8","","2.9","","","","","","2.6","","",""
"65"," Mauritius","3.2","","","","3.8","","4.2","","3.6","","3.3","","3.4","","3.6","","4.9","","4.9","","5.0","","5.1",""
"74"," Mexico","2.3","","3.9","","4.1","","4.9","","5.2","","5.1","","5.2","","4.7","","5.3","","","","","","",""
"131"," Micronesia (Federated States of)","","","","","6.7","","","","","","","","","","","","","","12.5","","","","",""
"112"," Moldova (Republic of)","","","","","4.5","","7.2","","9.1","","8.6","","8.3","","","","7.5","","","","6.7","","",""
"n.a"," Monaco","","","1.1","","1.3","","","","1.3","","1.6","","1.8","","1.3","","1.0","","","","1.4","","",""
"92"," Mongolia","","","","","5.5","","","","4.6","","4.6","","5.2","","4.9","","4.7","","4.2","","5.2","","",""
"123"," Morocco","4.5","","4.7","","","","","","","","","","","","","","","","","","","","",""
"180"," Mozambique","","","","","","","4.4","","","","","","6.1","","6.5","","","","","","","","",""
"148"," Myanmar","","","1.2","","","","","","","","0.8","","","","","","","","","","","","2.2",""
"129"," Namibia","","","","","7.0","","","","8.3","","","","","","","","","","","","","","",""
"149"," Nepal","","","","","3.0","","3.4","","3.6","","3.8","","3.8","","3.5","","4.0","","3.7","","","","",""
"10"," Netherlands","5.3","","4.6","","4.6","","5.2","","5.6","","5.5","","5.5","","5.6","","5.5","","","","","","",""
"16"," New Zealand","","","5.7","","","","6.3","","7.0","","6.9","","7.2","","6.7","","6.4","","6.3","","","","",""
"124"," Nicaragua","","","","","3.0","","","","4.5","","","","","","","","","","","","","","",""
"189"," Niger","2.9","","2.9","","3.2","","","","3.7","","4.2","","4.3","","4.9","","6.7","","6.0","","","","",""
"1"," Norway","6.3","","7.7","","6.5","","6.9","","6.7","","6.4","","7.4","","7.5","","7.7","","","","","","",""
"48"," Oman","2.8","","3.4","","3.2","","3.5","","","","","","","","5.0","","","","","","6.2","","",""
"150"," Pakistan","2.5","","2.8","","1.8","","2.3","","2.3","","2.2","","2.1","","2.5","","2.5","","2.6","","2.5","","2.8",""
"60"," Palau","","","","","7.9","","","","","","","","","","","","","","","","","","",""
"119"," Palestine, State of","","","","","","","","","6.7","","5.7","","5.1","","5.3","","","","5.1","","5.7","","",""
"66"," Panama","","","3.9","","4.8","","","","","","3.2","","","","","","","","","","","","",""
"110"," Paraguay","1.1","","","","4.6","","","","3.8","","5.0","","5.0","","","","","","","","","","",""
"89"," Peru","","","","","3.2","","2.8","","2.9","","2.7","","2.9","","3.3","","3.7","","4.0","","3.8","","",""
"113"," Philippines","","","3.0","","3.3","","2.4","","","","","","","","","","","","","","","","",""
