nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;74.02;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;62.09;"SUMATERA UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;72.5;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;78.28;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;78.28;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;78.84;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;83.52;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;81.88;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;70.76;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;-;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;84.43;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;80.32;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;82.21;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;86.89;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;78.2;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;65.9;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;83.77;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;76.62;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;77.96;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;69.01;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;77.16;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;73.98;"KALIMANTAN SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;81.13;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;86.86;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;72.95;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;71.97;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;81.33;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;79.39;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;-;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;64.28;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;69.02;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;-;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;71.07;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2004;Tahun;77.17;INDONESIA
